Alloys,Class,Phase
Co1Cr1Fe1Ni1W1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Mn1Ni1,0,Non-SP-SS
Al1Be1,0,Non-SP-SS
Al0.9Co1Cu0.9Fe1Ni1,0,Non-SP-SS
Al0.9Cr1Fe1Ni2.1,0,Non-SP-SS
Al0.88Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Fe1Ni2Cr1Cu1Al1,0,Non-SP-SS
Al1Cr1Fe2Ni2,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V1.4,0,Non-SP-SS
Al0.85Co1Cr1Fe1Ni1,0,Non-SP-SS
Co1Cr1Cu1Fe1Ni1Ti0.8,0,Non-SP-SS
Al0.43Co1Cr0.29Ni1Si0.14,0,Non-SP-SS
Al0.49Co1Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.4,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe1.5Ni1,0,Non-SP-SS
Al1Co1Cr2Cu0.5Fe1Ni1,0,Non-SP-SS
Co1.5Cr1Fe1Mo0.8Ni1.5Ti0.5,0,Non-SP-SS
Al0.875Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe2Mo0.2Ni1,0,Non-SP-SS
Al0.8Cr1Cu1.5Fe1Mn1Ni1,0,Non-SP-SS
Al0.8Cr1Cu1Fe1.5Mn1Ni1,0,Non-SP-SS
Co1Fe1Nb0.75Ni2V0.5,0,Non-SP-SS
Co1Cu3Fe1Ni1Ti1,0,Non-SP-SS
Co1Cu1Fe1Mn1Ni1Sn0.05W1,0,Non-SP-SS
Al1Co1Cr0.5Cu1Fe1Ni1,0,Non-SP-SS
Al12Co20Cr17Fe35Ni12Ti4,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V1.6,0,Non-SP-SS
Co1.5Cr1Fe1Ni1.5Ti1,0,Non-SP-SS
Al0.95Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Al1C0.1Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.8Cr1Cu1Fe1Mn1.5Ni1,0,Non-SP-SS
Al1Co1.5Cr2Fe1.5Mn2Ni1V1,0,Non-SP-SS
Al0.3Co1Fe1Ni1Si0.3,0,Non-SP-SS
Cr1Fe1Ni1V0.5W0.5,0,Non-SP-SS
Al1Co1Cr1Cu1Fe0.5Ni1,0,Non-SP-SS
Al1Co1Cu1Fe1Ni1,0,Non-SP-SS
Al1Co3Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Al0.8Cr1Cu1Fe1Mn1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V1.8,0,Non-SP-SS
Al50Co50Cr50Fe50Mn50Ni50,0,Non-SP-SS
Al0.95Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Fe1Mn1Ni1Zr0.2,0,Non-SP-SS
Al1Co1Cr0.5Cu0.5Fe1Ni1,0,Non-SP-SS
Cr1Fe1Ni2V0.5W1,0,Non-SP-SS
Al14.1Cr6Fe28.2Mn32.9Ni18.8,0,Non-SP-SS
Al1Cr1Fe1Ni2,0,Non-SP-SS
Al0.3Cr1Fe1Ni1V1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V2,0,Non-SP-SS
Al0.985Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Mo0.2Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.5Ni2,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Ni1V0.5,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe0.5Ni1,0,Non-SP-SS
Al1Co2Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Co1Fe1Ni1Si0.5,0,Non-SP-SS
Al1.2Cr1Cu1Fe1Ni2,0,Non-SP-SS
Fe1Ni2Cr1Cu1Al1.2,0,Non-SP-SS
Al1Co1Cu0.5Fe1Ni1,0,Non-SP-SS
Al0.81Cr1Fe2Mn1.25Ni0.75,0,Non-SP-SS
Al1Co0.5Cr1Cu1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Ni0.5,0,Non-SP-SS
Al1Co1Fe1Mn1Ni1,0,Non-SP-SS
Sc1U1,0,Non-SP-SS
Al1.2Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu0.5Fe1Ni1Ti0.5,0,Non-SP-SS
Al1Cr1Cu1Fe1Ni1.4,0,Non-SP-SS
Al1Co1Cu0.33Fe1Ni1,0,Non-SP-SS
Ag1Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.59,0,Non-SP-SS
Al0.2Co1.5Cr1Fe1Ni1.5Ti1,0,Non-SP-SS
Co1Cr1Cu1Fe1Ni1Ti1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.6,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Ni1V0.8,0,Non-SP-SS
Al1.2Co1Cu1.2Fe1Ni1,0,Non-SP-SS
Al1.3Cr1Cu1Fe1Ni2,0,Non-SP-SS
Co1.5Cr1Fe1Ni1.5Ti0.5Mo1.2,0,Non-SP-SS
Al1Co0.5Cr1Cu0.5Fe1Ni1,0,Non-SP-SS
Co1Ni1Fe1Cr1Al0.6Ti0.4,0,Non-SP-SS
Al1.1Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Mo0.4Ni1,0,Non-SP-SS
Al1Cr1Cu1Fe1Mn1Ni1,0,Non-SP-SS
Al1.3Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe1Ni0.5,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Ni1V1,0,Non-SP-SS
Al1Cr1Cu1Fe1Ni1.2,0,Non-SP-SS
Al1Co1Cu1Ni1,0,Non-SP-SS
Al1Co1Fe1Ni1,0,Non-SP-SS
Al1Co0.5Cu1Fe1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Ag1Be1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.2Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.5Ni1.5,0,Non-SP-SS
Al1.25Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Al0.75Cr1Fe1Ni1,0,Non-SP-SS
Ti1Cr1Fe1Mn1Co1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe2Mo0.5Ni1,0,Non-SP-SS
Al1Co1.5Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Li0.5Mg1Sn0.2Zn0.5,0,Non-SP-SS
Al1.17Co1Cr1Fe1Ni1,0,Non-SP-SS
