Alloys,Class,alloy_sep,normalizer,k,vm,tm,vac,delta_s_mix,delta_chi,delta,delta_h_mix
Cr1Cu1,0,"[('Cr', 1.0), ('Cu', 1.0)]",2.0,150.0,7.165,1768.96,8.5,5.762823676963555,0.12,1.8181818181818132,18.1
Al0.45Co1Cr1Fe1Ni1,0,"[('Al', 0.45), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",4.45,162.06741573033707,7.2202247191011235,1777.0025842696627,7.719101123595506,13.08333831669425,0.11141399892595244,3.2678948876138474,-18.548163110718342
Al0.4Co1Cu0.4Fe1Ga0.06Ni1,0,"[('Al', 0.4), ('Co', 1.0), ('Cu', 0.4), ('Fe', 1.0), ('Ga', 0.06), ('Ni', 1.0)]",3.86,159.78238341968913,7.24041450777202,1617.1296891191712,8.647668393782384,13.171895606896062,0.08670377209293424,3.0675064737013207,-12.787994308572042
Al0.5Co1Cr1Cu0.5Fe1Ni1,0,"[('Al', 0.5), ('Co', 1.0), ('Cr', 1.0), ('Cu', 0.5), ('Fe', 1.0), ('Ni', 1.0)]",5.0,159.0,7.236000000000001,1726.6440000000002,8.0,14.533425989178351,0.11118003417880387,3.2050727526034337,-12.351999999999999
Co1Cr1Mn1Ni1V1,0,"[('Co', 1.0), ('Cr', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('V', 1.0)]",5.0,159.0,7.254,1875.7500000000005,7.4,13.380861848448422,0.14291256067959873,1.7879487173599873,-13.92
Al0.5Co1Fe1Ni1,0,"[('Al', 0.5), ('Co', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",3.5,161.42857142857142,7.257142857142858,1649.767142857143,8.142857142857142,11.238728164101017,0.09707981147446855,3.4289633324909294,-21.453061224489794
Co27.5Cr17.5Fe20Mo15Ni20,0,"[('Co', 27.5), ('Cr', 17.5), ('Fe', 20.0), ('Mo', 15.0), ('Ni', 20.0)]",100.0,181.325,7.257750000000001,2009.9,8.025,13.205814972559285,0.1446020400962587,2.604071419223051,-6.588000000000001
Al1Co1Cr1Cu0.5Fe1Ni3,0,"[('Al', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Cu', 0.5), ('Fe', 1.0), ('Ni', 3.0)]",7.5,158.79999999999998,7.250666666666666,1674.1673333333333,8.2,13.482541116238687,0.11598084132974526,3.3126932999996868,-19.320888888888888
Fe41Co7Cr15Mo14C15B6Y2,0,"[('Fe', 41.0), ('Co', 7.0), ('Cr', 15.0), ('Mo', 14.0), ('C', 15.0), ('B', 6.0), ('Y', 2.0)]",100.0,163.18,7.247499999999999,2486.245,6.489999999999998,13.661061765582703,0.30003539791164635,22.122630436358524,-57.23451999999999
Al0.4Co1Cu0.4Fe1Ga0.08Ni1,0,"[('Al', 0.4), ('Co', 1.0), ('Cu', 0.4), ('Fe', 1.0), ('Ga', 0.08), ('Ni', 1.0)]",3.88,159.2474226804124,7.263917525773196,1610.3553608247423,8.670103092783506,13.276104827841836,0.08652242657702015,3.0724842198509257,-13.137421617600172
Al0.12Co1Cr1Fe1Mo0.5Ni1,0,"[('Al', 0.12), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mo', 0.5), ('Ni', 1.0)]",4.62,175.56709956709958,7.257575757575758,1958.266536796537,7.87012987012987,13.80524484242188,0.14411521338926608,2.836571187454922,-9.983321152152321
Al1Co1Cu50Ni1Ti1Zn1,0,"[('Al', 1.0), ('Co', 1.0), ('Cu', 50.0), ('Ni', 1.0), ('Ti', 1.0), ('Zn', 1.0)]",55.0,138.39999999999998,7.238181818181817,1362.8018181818181,10.690909090909091,3.749181003466868,0.06897214673180316,1.115427584720138,-1.8960661157024794
Al32Co68Cr68Fe68Mn68Ni68,0,"[('Al', 32.0), ('Co', 68.0), ('Cr', 68.0), ('Fe', 68.0), ('Mn', 68.0), ('Ni', 68.0)]",372.0,153.68817204301075,7.261720430107526,1726.6936559139788,7.56989247311828,14.667775121901448,0.13932173043580376,3.165175116717326,-17.794473349520175
Al10Co21Cr18Fe36Ni15,0,"[('Al', 10.0), ('Co', 21.0), ('Cr', 18.0), ('Fe', 36.0), ('Ni', 15.0)]",100.0,161.68,7.2544,1768.3220000000001,7.65,12.62913314706449,0.10305818744767442,3.3210122788050254,-17.026080000000004
Al0.3Cr1Cu1Fe1Mn1Ni1,0,"[('Al', 0.3), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0)]",5.3,148.83018867924528,7.249056603773584,1674.7945283018867,8.09433962264151,14.431902704495643,0.1426469999941589,2.7917657747889884,-3.7735849056603783
Al1Co3Cr1Cu0.5Fe1Ni1,0,"[('Al', 1.0), ('Co', 3.0), ('Cr', 1.0), ('Cu', 0.5), ('Fe', 1.0), ('Ni', 1.0)]",7.5,158.79999999999998,7.277333333333334,1684.8340000000003,7.933333333333333,13.48254111623869,0.11049384095454769,3.3126932999996868,-17.855999999999998
